"x"
"ENSG00000144015"
"ENSG00000164303"
"ENSG00000182747"
"ENSG00000144010"
"ENSG00000274028"
"ENSG00000284681"
"ENSG00000138792"
"ENSG00000163218"
"ENSG00000153684"
"ENSG00000226990"
"ENSG00000183629"
"ENSG00000177468"
"ENSG00000197380"
"ENSG00000223917"
"ENSG00000115457"
"ENSG00000227028"
"ENSG00000164488"
"ENSG00000152315"
"ENSG00000214145"
"ENSG00000122863"
"ENSG00000079308"
"ENSG00000183395"
"ENSG00000230083"
"ENSG00000145839"
"ENSG00000113303"
"ENSG00000116729"
"ENSG00000271013"
"ENSG00000071909"
"ENSG00000177508"
"ENSG00000157680"
"ENSG00000103855"
"ENSG00000163072"
"ENSG00000170442"
"ENSG00000250899"
"ENSG00000173376"
"ENSG00000235641"
"ENSG00000139263"
"ENSG00000135298"
"ENSG00000173699"
"ENSG00000270977"
"ENSG00000165474"
"ENSG00000158125"
"ENSG00000137869"
"ENSG00000229727"
"ENSG00000006042"
"ENSG00000110328"
"ENSG00000204291"
"ENSG00000237372"
"ENSG00000181577"
"ENSG00000181201"
"ENSG00000073150"
"ENSG00000152463"
"ENSG00000087842"
"ENSG00000112116"
"ENSG00000135750"
"ENSG00000145506"
"ENSG00000267201"
"ENSG00000133863"
"ENSG00000230453"
"ENSG00000116096"
"ENSG00000229953"
"ENSG00000181984"
"ENSG00000138271"
"ENSG00000249084"
"ENSG00000199846"
"ENSG00000185182"
"ENSG00000006071"
"ENSG00000154096"
"ENSG00000170214"
"ENSG00000134940"
"ENSG00000135454"
"ENSG00000058085"
"ENSG00000156234"
"ENSG00000214357"
"ENSG00000277258"
"ENSG00000095203"
"ENSG00000099194"
"ENSG00000103175"
"ENSG00000124232"
"ENSG00000175676"
"ENSG00000259439"
"ENSG00000257642"
"ENSG00000148053"
"ENSG00000135480"
"ENSG00000175699"
"ENSG00000231971"
"ENSG00000197616"
"ENSG00000242444"
"ENSG00000104967"
"ENSG00000135355"
"ENSG00000122861"
"ENSG00000250033"
"ENSG00000175093"
"ENSG00000172752"
"ENSG00000197376"
"ENSG00000217825"
"ENSG00000189221"
"ENSG00000168542"
"ENSG00000132692"
"ENSG00000128342"
"ENSG00000231007"
"ENSG00000233589"
"ENSG00000183780"
"ENSG00000137825"
"ENSG00000173253"
"ENSG00000183578"
"ENSG00000166527"
"ENSG00000136235"
"ENSG00000236841"
"ENSG00000138316"
"ENSG00000273443"
"ENSG00000227619"
"ENSG00000118785"
"ENSG00000198759"
"ENSG00000157388"
"ENSG00000124212"
"ENSG00000060566"
"ENSG00000253301"
"ENSG00000231028"
"ENSG00000230882"
"ENSG00000100625"
"ENSG00000072682"
"ENSG00000162433"
"ENSG00000272068"
"ENSG00000100867"
"ENSG00000285228"
"ENSG00000268942"
"ENSG00000107130"
"ENSG00000225976"
"ENSG00000151012"
"ENSG00000204613"
"ENSG00000168243"
"ENSG00000231527"
"ENSG00000184347"
"ENSG00000235748"
"ENSG00000151790"
"ENSG00000214338"
"ENSG00000222047"
"ENSG00000279806"
"ENSG00000198739"
"ENSG00000122691"
"ENSG00000205426"
"ENSG00000229950"
"ENSG00000164363"
"ENSG00000184304"
"ENSG00000115414"
"ENSG00000126778"
"ENSG00000112246"
"ENSG00000274641"
"ENSG00000120051"
"ENSG00000147852"
"ENSG00000223519"
"ENSG00000233332"
"ENSG00000215246"
"ENSG00000139734"
"ENSG00000205002"
"ENSG00000135451"
"ENSG00000134874"
"ENSG00000150893"
"ENSG00000169607"
"ENSG00000011426"
